交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 16:44:32.958845,,100053451814,110339775100053451814,,7100053451814750429314689929216,1037152000910711211860,OS2018030216450660678,,jdpay.NATIVE,交易,,,259800,0,,,,,,京东支付,,-701,27,259099,,,,,
2018-03-02 08:02:30.164031,,100053451814,110339775100053451814,,7100053451814749903805442297856,1020151997775742682052,OS2018030208023794835,,jdpay.NATIVE,交易,,,60000,0,,,,,,京东支付,,-162,27,59838,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,319800,0,319800,-863
